,Q,Score Type,Time Remaining,Play,SJS,YKW
1,1,TD,6:41,Shane Weston 20 yd pass from Ethan Hunt. (Iyah Blewitt kick),7,0
2,1,FG,3:46,32 yd FG by Iyah Blewitt,10,0
4,2,TD,8:14,Mayran Jackson 14 yd pass from Ethan Hunt. (Iyah Blewitt kick),17,0
5,2,FG,0:03,48 yd FG by Iyah Blewitt,20,0
7,3,TD,13:22,Dirk Cutter 56 yd interception return. (Archibald Booter kick),20,7
8,3,TD,8:53,Josh Garden 23 yd pass from Chris Orosz. (Archibald Booter kick),20,14
9,3,TD,5:32,Bubba Nuck 9 yd run. (Archibald Booter kick),20,21
11,4,TD,10:46,DJ Law 10 yd pass from Chris Orosz. (Archibald Booter kick),20,28
12,4,TD,2:04,Break Bottles 9 yd pass from Ethan Hunt. (2pt conversion good),28,28
14,5,FG,0:18,54 yd FG by Iyah Blewitt,31,28
