,Q,Score Type,Time Remaining,Play,COL,NO
1,1,FG,12:47,40 yd FG by Peg Leg,3,0
2,1,TD,8:27,Vladimir Fyodorovich 7 yd pass from Borkus Maximus III. (Beat Meoff kick),3,7
3,1,TD,3:24,Howard Miller 2 yd pass from Micycle McCormick. (Peg Leg kick),10,7
4,1,TD,0:00,Darren Smallwood 1 yd run. (Beat Meoff kick),10,14
6,2,FG,8:18,43 yd FG by Peg Leg,13,14
7,2,TD,4:18,Paul DiMirio 13 yd pass from Borkus Maximus III. (Beat Meoff kick),13,21
8,2,FG,0:12,24 yd FG by Beat Meoff,13,24
10,3,TD,9:04,Alexandre LeClair 22 yd pass from Borkus Maximus III. (Beat Meoff XP no good),13,30
12,4,TD,14:46,Devo (R) Cansino 2 yd run. (Peg Leg kick),20,30
13,4,TD,12:53,Tana (R) Keita 33 yd interception return. (Beat Meoff XP no good),20,36
14,4,TD,11:08,Rob Anderson 33 yd interception return. (2pt conversion good),28,36
15,4,FG,6:49,46 yd FG by Peg Leg,31,36
16,4,TD,1:07,Charlie Law 15 yd pass from Borkus Maximus III. (Beat Meoff kick),31,43
