,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,6:19,Charles Arthur Chess 6 yd pass from King Bronko. (Dean Jackson kick),0,7
3,2,TD,14:42,Fresh Booter 4 yd pass from King Bronko. (Dean Jackson kick),0,14
4,2,TD,7:26,Howard Miller 13 yd pass from Ryan Applehort. (Micycle McCormick kick),7,14
5,2,TD,7:07,John Wachter 108 yd kickoff return. (Dean Jackson kick),7,21
6,2,FG,0:07,42 yd FG by Dean Jackson,7,24
8,3,TD,8:36,Ryan Applehort 7 yd run. (Micycle McCormick kick),14,24
9,3,FG,5:04,43 yd FG by Dean Jackson,14,27
10,3,TD,4:45,Andre Bly Jr. 98 yd kickoff return. (Micycle McCormick kick),21,27
12,4,FG,14:17,41 yd FG by Dean Jackson,21,30
13,4,FG,6:02,26 yd FG by Dean Jackson,21,33
