,Q,Score Type,Time Remaining,Play,NO,SJS
1,1,FG,12:09,40 yd FG by Kicky Bobby,0,3
2,1,TD,7:08,Quindarius Tyerucker (R) 3 yd run. (Kicky Bobby kick),0,10
3,1,TD,3:40,Bona'beri Jones 19 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),7,10
6,3,TD,10:18,Action Jackson 3 yd pass from Dan Wright. (Kicky Bobby kick),7,17
7,3,TD,5:11,Forrest Gump 1 yd run. (Herbert Prohaska (R) kick),14,17
8,3,FG,1:17,40 yd FG by Kicky Bobby,14,20
10,4,TD,10:49,Bona'beri Jones 3 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),21,20
11,4,TD,4:56,Fast Boija 3 yd run. (2pt conversion good),21,28
12,4,TD,0:23,Forrest Gump 9 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),28,28
14,5,TD,7:02,Deondre Thomas-Fox (R) 62 yd pass from Dan Wright.,28,34
