Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"O'Leary, S.",CHI,5,97,19.4,26,1,6,26
"Gelbman, T.",CHI,5,20,4,10,0,6,26
"Scabbia, L.",CHI,4,66,16.5,34,0,6,26
"Yoda, B.",CHI,3,17,5.7,8,0,6,26
"Rodriguez, B.",CHI,2,49,24.5,32,0,6,26
"Tirtawidjaja, J.",CHI,1,2,2,2,0,6,26
"Tucker Jr., P.",CHI,1,0,0,0,0,6,26
"Walker, M.",YKW,5,68,13.6,30,1,6,26
"Sakura, K.",YKW,4,63,15.8,30,0,6,26
"Vermillion, J.",YKW,4,26,6.5,10,1,6,26
"Naught, A.",YKW,3,34,11.3,15,1,6,26
"Rechs, Z.",YKW,3,19,6.3,9,0,6,26
"Skyline, A.",YKW,1,5,5,5,0,6,26
