,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,TD,12:32,Morgan Marshall 56 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),7,0
2,1,TD,4:41,None Sunnycursed 30 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),7,7
4,2,TD,13:12,Morgan Marshall 1 yd run. (Stephen Harris Jr kick),14,7
5,2,TD,12:15,Jerrod Canton 27 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),21,7
6,2,FG,9:52,22 yd FG by Alex Dasistwirklichseinnachname,21,10
7,2,TD,2:31,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),21,17
9,3,TD,10:21,None Sunnycursed 14 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),21,24
10,3,FG,4:06,34 yd FG by Stephen Harris Jr,24,24
12,4,TD,12:12,Johnny Blaze 6 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),24,31
13,4,TD,9:35,Morgan Marshall 13 yd run. (Stephen Harris Jr XP no good),30,31
14,4,TD,3:53,Josh Parker 4 yd pass from Cooter Bigsby. (2pt conversion failed),36,31
