,Q,Score Type,Time Remaining,Play,AUS,COL
1,1,FG,7:58,47 yd FG by Alfredo Crisco,3,0
3,2,TD,14:04,Easton Cole 28 yd run. (Alfredo Crisco kick),10,0
4,2,FG,9:28,28 yd FG by Silver Banana (R),10,3
5,2,SF,8:54,Mako Mendonca tackled for a safety.,10,5
6,2,TD,5:43,Wolfie McDummy 1 yd run. (Silver Banana (R) kick),10,12
7,2,FG,3:31,30 yd FG by Alfredo Crisco,13,12
9,3,TD,11:29,Laszlo Forty-Two 9 yd pass from Wolfie McDummy. (Silver Banana (R) kick),13,19
10,3,TD,7:32,Jacoby Clay 10 yd pass from Easton Cole. (Alfredo Crisco kick),20,19
11,3,TD,4:41,Wolfie McDummy 25 yd run. (Silver Banana (R) kick),20,26
13,4,FG,10:40,44 yd FG by Alfredo Crisco,23,26
