Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Terim, F.",BAL,7,0,0,1/0,0,0,0,0,"[0, 0, 0]"
"Horne, B.",BAL,6,0,1,0/0,1,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,6,0,0,1/0,0,0,0,0,"[0, 0, 0]"
"Oats, S.",BAL,5,3,1,0/0,0,0,1,0,"[0, 0, 0]"
"Hobbs, J.",BAL,4,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Trout, C.",BAL,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Green, W.",BAL,3,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Clark, T.",BAL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Asipi III, A.",BAL,1,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Harp, D.",BAL,0,0,0,0/0,0,0,0,0,"[1, 0, 0]"
"Hornbacher, A.",BAL,0,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,11,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Deringer, K.",SJS,9,0,3,0/0,2,0,0,0,"[0, 0, 0]"
"Castle, S.",SJS,7,0,0,0/0,4,0,0,0,"[0, 0, 0]"
"Pennington, T.",SJS,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Poopsie, D.",SJS,6,4,1,0/0,0,0,0,0,"[0, 0, 0]"
"Troyski, X.",SJS,5,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Staley, T.",SJS,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Pennington, C.",SJS,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Sackerman, F.",SJS,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Riposte, F.",SJS,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tacktheritrix, J.",SJS,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
