Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Clark, T.",BAL,1,15,0,0
"Grey, S.",BAL,0,0,7,0
"Steele, R.",BAL,0,0,7,0
"Jeremy, R.",BAL,0,0,5,0
"L'Alto, V.",BAL,0,0,5,0
"Diggler, D.",BAL,0,0,4,1
"Star, L.",BAL,0,0,4,0
"Brown, M.",BAL,0,0,3,1
"Harp, D.",BAL,0,0,2,0
"Jahelpme, H.",SJS,1,15,3,1
"Olsen, C.",SJS,1,10,2,0
"Oles, K.",SJS,1,5,0,0
"Sackerman, F.",SJS,1,2,0,0
"Tuck, J.",SJS,1,15,0,0
"Rucker, F.",SJS,0,0,6,1
"McKoutchie, M.",SJS,0,0,3,0
"Probincrux III, D.",SJS,0,0,3,0
"Orosz, C.",SJS,0,0,2,0
"Tacktheritrix, J.",SJS,0,0,2,0
"Wright, D.",SJS,0,0,1,0
