Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Tenzini, G.",LV,2,10,0,1,13,4
"Khan, S.",LV,1,5,5,0,13,4
"Fulton, W.",LV,1,5,0,0,13,4
"Morgan, L.",LV,1,5,0,0,13,4
"Shoate, T.",LV,1,12,0,0,13,4
"Gomez, S.",LV,0,0,4,0,13,4
"Samurai, B.",LV,0,0,3,1,13,4
"Bot, S.",LV,0,0,3,0,13,4
"Savea, A.",LV,0,0,1,1,13,4
"Tanner, C.",LV,0,0,1,0,13,4
"Heel, A.",LV,0,0,0,1,13,4
"Larsendorf, R.",LV,0,0,0,1,13,4
"Rucker, F.",SJS,1,14,4,1,13,4
"McKoutchie, M.",SJS,1,5,2,0,13,4
"Diaz, D.",SJS,1,15,1,0,13,4
"Lee, J.",SJS,1,5,0,0,13,4
"Okonkwo, C.",SJS,1,5,0,0,13,4
"Smallwood, D.",SJS,1,15,0,0,13,4
"Probincrux III, D.",SJS,0,0,7,0,13,4
"Yates, J.",SJS,0,0,4,1,13,4
"Tacktheritrix, J.",SJS,0,0,4,0,13,4
"Bottles, B.",SJS,0,0,2,1,13,4
"Tech, G.",SJS,0,0,2,0,13,4
"Sharp, B.",SJS,0,0,1,0,13,4
