,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,8:16,Jerrod Canton 3 yd run. (Stephen Harris Jr XP no good),0,6
2,1,FG,2:51,42 yd FG by Stephen Harris Jr,0,9
4,2,TD,10:50,Tommy Helanen 5 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),0,16
5,2,FG,3:25,47 yd FG by Adam Anderson,3,16
6,2,TD,1:14,Jerrod Canton 1 yd run. (Stephen Harris Jr XP no good),3,22
8,3,TD,12:37,Morgan Marshall 3 yd run. (Stephen Harris Jr kick),3,29
9,3,FG,4:12,39 yd FG by Stephen Harris Jr,3,32
10,3,FG,0:53,45 yd FG by Adam Anderson,6,32
12,4,FG,7:37,26 yd FG by Adam Anderson,9,32
13,4,TD,5:00,Nate Swift 11 yd pass from Cooter Bigsby. (Stephen Harris Jr kick),9,39
