Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Hendrix, M.",PHI,10,0,1,2,0,0,0,0,0,0,0,0,4,8
"Lee, J.",PHI,8,0,0,0,0,0,0,0,0,0,0,0,4,8
"Rove, C.",PHI,6,0,0,5,0,0,0,0,0,0,0,0,4,8
"Davidson, D.",PHI,5,0,0,0,0,0,0,0,0,0,0,0,4,8
"Tucker, P.",PHI,5,0,0,0,0,0,0,0,0,0,0,0,4,8
"Hayden, A.",PHI,3,0,0,2,1,0,0,0,0,0,0,0,4,8
"King, G.",PHI,3,1,1,0,0,0,0,0,0,0,0,0,4,8
"Marmeladov, V.",PHI,3,0,0,0,0,0,0,0,0,0,0,0,4,8
"Bagwell, N.",PHI,2,1,0,0,0,0,0,0,0,0,0,0,4,8
"Flock, R.",PHI,2,0,1,0,0,0,0,0,0,0,0,0,4,8
"Kamaka, E.",PHI,2,0,0,0,0,0,0,0,0,0,0,0,4,8
"Storm, B.",PHI,0,0,0,0,0,0,0,0,0,0,0,0,4,8
"Askins, J.",NO,8,0,0,0,0,0,0,0,0,0,0,0,4,8
"Brister, T.",NO,8,0,0,1,0,0,0,0,0,0,0,0,4,8
"Fyodorovich, V.",NO,7,0,0,0,0,0,0,0,0,0,0,0,4,8
"Oakes, B.",NO,7,0,0,0,0,0,0,0,0,0,0,0,4,8
"Mills, B.",NO,5,1,0,0,0,0,0,0,0,0,0,0,4,8
"Sharpei, V.",NO,4,0,1,1,1,0,0,0,0,0,0,0,4,8
"Harrison, W.",NO,3,0,0,0,0,0,0,0,0,0,0,0,4,8
"O'Sullivan, J.",NO,3,0,1,2,0,0,0,0,0,0,0,0,4,8
"Verns, D.",NO,1,0,0,0,0,0,0,0,0,0,0,0,4,8
"Wozy, F.",NO,1,0,1,0,0,0,0,0,0,0,0,0,4,8
