,Q,Score Type,Time Remaining,Play,PHI,AZ
1,1,TD,5:58,Seer Zephyrous 5 yd pass from Andrew Reese. (Spencer Lawes kick),0,7
3,2,TD,14:13,Jordan von Matt 6 yd pass from Adriana Falconi. (Kyle Frost kick),7,7
4,2,FG,6:18,28 yd FG by Kyle Frost,10,7
5,2,TD,3:33,Jammerson Irving 19 yd pass from Andrew Reese. (Spencer Lawes kick),10,14
6,2,TD,0:28,Zapp Brannigan 5 yd pass from Adriana Falconi. (Kyle Frost kick),17,14
8,3,TD,9:24,Brock Landers 8 yd pass from Andrew Reese. (Spencer Lawes kick),17,21
9,3,FG,8:18,32 yd FG by Spencer Lawes,17,24
10,3,FG,4:23,36 yd FG by Spencer Lawes,17,27
12,4,TD,11:42,Slim Shady 6 yd pass from Andrew Reese. (Spencer Lawes kick),17,34
13,4,FG,5:49,31 yd FG by Spencer Lawes,17,37
14,4,TD,1:03,Farley Hank 1 yd run. (Kyle Frost kick),24,37
