,Q,Score Type,Time Remaining,Play,CHI,NO
1,1,FG,10:32,38 yd FG by Herbert Prohaska (R),0,3
2,1,FG,1:41,30 yd FG by Herbert Prohaska (R),0,6
4,2,TD,11:43,Ahri Espeeyeeseetee 13 yd pass from Rose Jenkins. (Kulture Fulture kick),7,6
5,2,TD,7:57,Bona'beri Jones 5 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),7,13
6,2,TD,3:44,Bender B. Rodriguez 8 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),7,20
8,3,TD,12:53,Jed Podolak (R) 59 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),7,27
9,3,TD,8:39,Ahri Espeeyeeseetee 19 yd pass from Rose Jenkins. (Kulture Fulture kick),14,27
10,3,TD,1:07,Bona'beri Jones 9 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),14,34
12,4,TD,11:19,Jed Podolak (R) 13 yd pass from Stan Francisco. (Herbert Prohaska (R) XP no good),14,40
13,4,TD,7:15,Sean O'Leary 3 yd pass from Rose Jenkins. (Kulture Fulture kick),21,40
14,4,FG,4:38,39 yd FG by Herbert Prohaska (R),21,43
