,Q,Score Type,Time Remaining,Play,OCO,BAL
1,1,FG,6:58,24 yd FG by Turk Turkleton,0,3
2,1,TD,0:38,Owen Taylor 1 yd run. (Turk Turkleton kick),0,10
4,2,FG,13:29,38 yd FG by Bradley Madlad,3,10
5,2,TD,5:11,Owen Taylor 1 yd run. (Turk Turkleton kick),3,17
6,2,TD,1:42,Bradley Westfield 24 yd pass from Mike Boss. (Bradley Madlad kick),10,17
8,3,TD,9:46,Erlich Burnsman 4 yd run. (Bradley Madlad kick),17,17
9,3,TD,5:37,Trey Willie 6 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,24
10,3,FG,1:30,38 yd FG by Bradley Madlad,20,24
12,4,TD,12:45,Jordan Yates 29 yd pass from Mike Boss. (Bradley Madlad kick),27,24
13,4,TD,3:18,Erlich Burnsman 2 yd run. (Bradley Madlad kick),34,24
