Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"McPoyal, G.",YKW,7,44,6.3,11,0,2,9
"Kennedy, E.",YKW,6,120,20,33,0,2,9
"Cook, B.",YKW,3,21,7,9,0,2,9
"Rocket, J.",YKW,2,35,17.5,27,0,2,9
"Harris Jr., F.",YKW,2,30,15,23,0,2,9
"Catcherman, F.",YKW,2,16,8,8,0,2,9
"Gore, B.",YKW,1,6,6,6,0,2,9
"Rainey, R.",YKW,1,3,3,3,0,2,9
"Chess, C.",AZ,7,100,14.3,18,0,2,9
"Crindy, B.",AZ,5,53,10.6,15,0,2,9
"Squanch, V.",AZ,5,49,9.8,24,0,2,9
"Wachter, J.",AZ,3,50,16.7,22,1,2,9
"Booter, F.",AZ,2,21,10.5,15,0,2,9
"Christmas, C.",AZ,1,7,7,7,0,2,9
"Mackworthy, R.",AZ,1,2,2,2,0,2,9
