Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Bigby, L.",OCO,1,10,1,0,6,21
"Johns, A.",OCO,1,15,1,0,6,21
"Banks II, D.",OCO,1,10,0,0,6,21
"Boucher, B.",OCO,1,5,0,0,6,21
"Kurisuto, R.",OCO,1,5,0,0,6,21
"Wokkenfuss, G.",OCO,0,0,7,0,6,21
"Pak, Y.",OCO,0,0,6,0,6,21
"Blaze, J.",OCO,0,0,5,0,6,21
"Harrison, H.",OCO,0,0,4,0,6,21
"Iridian, G.",OCO,0,0,4,0,6,21
"Edmond, H.",AUS,1,5,0,0,6,21
"McTackle, R.",AUS,1,5,0,0,6,21
"Sexjoke, A.",AUS,1,5,0,0,6,21
"A'Moderateamount, L.",AUS,0,0,7,0,6,21
"Beaver-Dantes, E.",AUS,0,0,7,0,6,21
"A'Barelyanything, L.",AUS,0,0,3,0,6,21
"A'Ton, L.",AUS,0,0,2,0,6,21
"Larson, P.",AUS,0,0,2,0,6,21
"A'Little, L.",AUS,0,0,1,1,6,21
"Mendonca, M.",AUS,0,0,1,0,6,21
