Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Gilbert, R.",COL,1,10,4,0
"Thruster, D.",COL,1,15,4,0
"Guard, L.",COL,1,10,2,0
"Guard, R.",COL,0,0,4,0
"Sauce, E.",COL,0,0,2,0
"Bumper, T.",COL,0,0,1,0
"Centre, S.",COL,0,0,1,0
"Magic, M.",COL,0,0,1,0
"Doe, B.",SAR,1,6,7,0
"McCabe, J.",SAR,1,10,1,0
"Back, R.",SAR,1,5,0,0
"Dillmiballs, F.",SAR,1,5,0,0
"Gordon, R.",SAR,1,5,0,0
"Nkiah, J.",SAR,1,5,0,0
"Smith, J.",SAR,1,10,0,0
"Angler, J.",SAR,0,0,2,0
"Woakneoa, S.",SAR,0,0,2,0
"Chan, R.",SAR,0,0,1,0
