,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,8:59,Action Jackson 9 yd pass from Colby Jack (R). (Dougie Smalls kick),0,7
2,1,TD,0:39,William Lim 12 yd pass from Wolfie McDummy. (Silver Banana kick),7,7
4,2,FG,11:33,32 yd FG by Dougie Smalls,7,10
5,2,TD,7:38,Earl Sauce 10 yd pass from Wolfie McDummy. (Silver Banana kick),14,10
6,2,TD,3:44,Action Jackson 1 yd pass from Colby Jack (R). (Dougie Smalls kick),14,17
8,3,TD,10:55,Mathias Hanyadi 4 yd run. (Dougie Smalls kick),14,24
9,3,TD,6:45,Ashley Owens 4 yd run. (Silver Banana kick),21,24
11,4,TD,13:38,Action Jackson 7 yd pass from Colby Jack (R). (Dougie Smalls kick),21,31
12,4,TD,8:49,Leeroy Jenkins (R) 1 yd pass from Wolfie McDummy. (Silver Banana kick),28,31
13,4,TD,4:21,Ashley Owens 3 yd run. (Silver Banana kick),35,31
14,4,SF,0:42,Colby Jack (R) tackled for a safety.,37,31
