,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,FG,8:50,36 yd FG by Beat Meoff,3,0
3,2,TD,14:48,Robby Rainey 1 yd run. (None Forfeit kick),3,7
4,2,FG,9:15,33 yd FG by None Forfeit,3,10
5,2,TD,5:21,Tegan Atwell 4 yd pass from Brad Pennington. (None Forfeit kick),3,17
6,2,FG,3:21,45 yd FG by Beat Meoff,6,17
7,2,TD,0:49,Robby Rainey 8 yd run. (None Forfeit XP no good),6,23
9,3,FG,3:39,18 yd FG by Beat Meoff,9,23
11,4,TD,13:53,Carter Bush 7 yd pass from Logan Noble. (Beat Meoff kick),16,23
12,4,FG,8:30,29 yd FG by Beat Meoff,19,23
13,4,TD,5:47,Eric Kennedy 23 yd pass from Brad Pennington. (None Forfeit kick),19,30
