,Q,Score Type,Time Remaining,Play,NO,AUS
1,1,FG,5:02,48 yd FG by Alfredo Crisco,0,3
2,1,FG,2:50,39 yd FG by Alfredo Crisco,0,6
4,2,TD,14:21,Stan Francisco 6 yd run. (Alex Frost kick),7,6
5,2,TD,10:01,Rod Tidwell 1 yd pass from Easton Cole. (Alfredo Crisco kick),7,13
6,2,TD,3:34,Forrest Gump 1 yd run. (Alex Frost kick),14,13
8,3,TD,13:12,Deon Taylor 43 yd interception return. (Alex Frost kick),21,13
9,3,TD,7:38,Chase Jensen 42 yd interception return. (Alfredo Crisco kick),21,20
10,3,TD,3:44,Vladimir Fyodorovich 27 yd pass from Stan Francisco. (Alex Frost kick),28,20
11,3,TD,0:14,Mako Mendonca 1 yd run. (Alfredo Crisco kick),28,27
13,4,TD,10:41,Rod Tidwell 5 yd pass from Easton Cole. (2pt conversion good),28,35
14,4,TD,3:01,Django Anoa'i 24 yd pass from Easton Cole. (Alfredo Crisco kick),28,42
