Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Delacour, A.",BAL,8,0,0,1/0,1,0,0,0,"[0, 0, 0]"
"Goodson, N.",BAL,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Marmeladov, V.",BAL,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Fletcher, G.",BAL,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Hendrix, K.",BAL,4,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Joshua, C.",BAL,4,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Asipi Jr., A.",BAL,3,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Roenick, A.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Willie, T.",BAL,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rove, C.",BAL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Wojcik, B.",BAL,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Gambino, C.",BAL,1,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"O'Sullivan, J.",NO,11,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Oakes, B.",NO,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Fyodorovich, V.",NO,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Bayley, B.",NO,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Harrison, W.",NO,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mills, B.",NO,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Rax, L.",NO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"King, G.",NO,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",NO,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Andres, J.",NO,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Askins, J.",NO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Law, C.",NO,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
