Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Diggler, D.",BAL,1,5,7,0
"Jeremy, R.",BAL,0,0,11,0
"Grey, S.",BAL,0,0,4,0
"L'Alto, V.",BAL,0,0,4,0
"Star, L.",BAL,0,0,4,0
"Taylor, O.",BAL,0,0,3,0
"Harp, D.",BAL,0,0,1,0
"Steele, R.",BAL,0,0,1,0
"Ory, K.",NO,1,10,5,1
"Smallwood, D.",NO,1,15,2,0
"Rax, L.",NO,1,5,0,0
"Andres, J.",NO,1,10,0,0
"Tuck, J.",NO,1,5,0,0
"Roll, J.",NO,0,0,8,0
"Bolden, B.",NO,0,0,5,1
"Savea, A.",NO,0,0,4,0
"Armstrong, L.",NO,0,0,3,0
"DiMirio, P.",NO,0,0,3,0
"Ruffins, K.",NO,0,0,3,0
