Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Bavitz, I.",OCO,10,0,3,0/0,0,0,1,0,"[0, 0, 0]"
"O'Sullivan, J.",OCO,8,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Enchant, E.",OCO,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Winchester, A.",OCO,5,0,1,0/0,3,0,0,0,"[0, 0, 0]"
"Sierra, R.",OCO,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Atwell, T.",OCO,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Clegane, G.",OCO,3,0,1,1/1,0,0,0,0,"[0, 0, 0]"
"King, J.",OCO,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Spector, M.",OCO,2,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Wright Jr, G.",OCO,2,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Wojcik, B.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Burnsman, E.",OCO,0,0,0,0/1,0,0,0,0,"[0, 0, 0]"
"Sharpei, V.",SJS,11,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Newman, X.",SJS,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Canton, J.",SJS,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Lewith, T.",SJS,6,0,0,0/1,1,0,0,0,"[0, 0, 0]"
"Bayley, B.",SJS,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Okonkwo, C.",SJS,5,4,0,1/0,0,0,0,0,"[0, 0, 0]"
"Brill, J.",SJS,4,0,2,1/0,0,0,0,0,"[0, 0, 0]"
"Hansen, A.",SJS,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Miller, D.",SJS,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Joshua, C.",SJS,2,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Chambers III, C.",SJS,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
