Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Lee, J.",OCO,1,5,7,1
"Clegane, G.",OCO,1,5,0,0
"Sierra, R.",OCO,1,5,0,0
"Westfield, B.",OCO,1,5,0,0
"Chan, J.",OCO,0,0,4,0
"Lee, B.",OCO,0,0,4,0
"Yen, D.",OCO,0,0,4,0
"Yeung, B.",OCO,0,0,3,1
"O'Sullivan, S.",OCO,0,0,3,0
"Yates, J.",OCO,0,0,2,0
"Petrakis, A.",OCO,0,0,1,0
"Burnsman, E.",OCO,0,0,0,2
"Probincrux III, D.",SJS,1,5,3,2
"Bottles, B.",SJS,1,5,2,2
"Smallwood, D.",SJS,1,5,1,0
"Tacktheritrix, J.",SJS,0,0,8,0
"McKoutchie, M.",SJS,0,0,5,0
"Jahelpme, H.",SJS,0,0,4,0
"Rucker, F.",SJS,0,0,4,0
"Diaz, D.",SJS,0,0,1,0
"Brownce, B.",SJS,0,0,0,1
