,Q,Score Type,Time Remaining,Play,COL,OCO
1,1,TD,7:15,Howard Miller 9 yd pass from Micycle McCormick. (Peg Leg kick),7,0
2,1,TD,0:04,John Wachter 27 yd pass from Micycle McCormick. (Peg Leg kick),14,0
4,2,TD,13:03,Tegan Atwell 52 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,7
5,2,TD,11:13,Tegan Atwell 36 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,14
6,2,TD,2:52,Ricky Adams 23 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,21
8,3,TD,8:40,Ricky Adams 6 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),14,28
9,3,TD,3:34,Carlito Crush 5 yd pass from Gus T.T. Showbiz. (Adam Anderson XP no good),14,34
10,3,FG,1:00,45 yd FG by Peg Leg,17,34
12,4,TD,11:56,None (R) Sunnycursed 1 yd pass from Gus T.T. Showbiz. (Adam Anderson kick),17,41
13,4,TD,11:36,Howard Miller 104 yd kickoff return. (Peg Leg kick),24,41
14,4,TD,8:50,Seer Zephyrous 1 yd run. (Adam Anderson kick),24,48
15,4,FG,0:51,26 yd FG by Adam Anderson,24,51
