Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Bolton, M.",OCO,2,15,3,1,1,12
"Sierra, R.",OCO,2,20,0,0,1,12
"Gibbons, P.",OCO,0,0,5,0,1,12
"Waddams, M.",OCO,0,0,4,0,1,12
"Zephyrous, S.",OCO,0,0,4,0,1,12
"Lumburgh, B.",OCO,0,0,3,0,1,12
"Adams, R.",OCO,0,0,1,0,1,12
"Nagheenanajar, S.",OCO,0,0,1,0,1,12
"Tackle, L.",COL,1,13,7,0,1,12
"Grau, M.",COL,1,5,2,0,1,12
"Centre, S.",COL,1,5,1,1,1,12
"Cansino, D.",COL,1,5,0,1,1,12
"Bishop, J.",COL,1,5,0,0,1,12
"Miller, H.",COL,1,15,0,0,1,12
"Guard, R.",COL,0,0,6,0,1,12
"Tackle, R.",COL,0,0,6,0,1,12
"Guard, L.",COL,0,0,3,0,1,12
"Chipmunk, A.",COL,0,0,0,1,1,12
