,Q,Score Type,Time Remaining,Play,SJS,BAL
1,1,TD,11:15,Mayran Jackson 65 yd pass from Chris Orosz. (Iyah Blewitt kick),7,0
2,1,FG,6:49,26 yd FG by Turk Turkleton,7,3
3,1,TD,4:19,Darren Smallwood 4 yd run. (Iyah Blewitt kick),14,3
4,1,TD,1:09,Alexandre LeClair 9 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),14,9
6,2,FG,12:04,44 yd FG by Turk Turkleton,14,12
7,2,TD,2:05,Darren Smallwood 1 yd run. (Iyah Blewitt kick),21,12
9,3,TD,10:13,Trey Willie 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,19
10,3,FG,1:38,19 yd FG by Turk Turkleton,21,22
12,4,TD,5:31,Darren Smallwood 1 yd run. (2pt conversion good),29,22
13,4,FG,0:00,41 yd FG by Iyah Blewitt,32,22
