,Q,Score Type,Time Remaining,Play,LV,SJS
1,1,FG,7:47,29 yd FG by Iyah Blewitt,0,3
2,1,TD,2:45,Ardie Savea 2 yd run. (Brandon Walsh kick),7,3
4,2,TD,14:45,Ardie Savea 1 yd run. (Brandon Walsh kick),14,3
5,2,TD,10:00,Connor Tanner 9 yd pass from Josh Bercovici. (Brandon Walsh kick),21,3
6,2,TD,7:53,Ardie Savea 1 yd run. (Brandon Walsh XP no good),27,3
7,2,TD,0:23,Shane Weston 26 yd pass from Ethan Hunt. (Iyah Blewitt kick),27,10
9,3,TD,1:08,Shane Weston 43 yd pass from Ethan Hunt. (Iyah Blewitt kick),27,17
11,4,TD,12:13,Darren Smallwood 13 yd pass from Ethan Hunt. (Iyah Blewitt kick),27,24
12,4,TD,7:46,Connor Tanner 7 yd pass from Josh Bercovici. (Brandon Walsh kick),34,24
13,4,TD,0:18,Break Bottles 1 yd pass from Ethan Hunt. (Iyah Blewitt kick),34,31
