,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,FG,6:47,23 yd FG by Kulture Fulture,0,3
2,1,TD,3:10,Errol Maddox 3 yd pass from Childish Gambino. (Alex Frost kick),7,3
3,1,TD,0:00,Roger Batoff 15 yd pass from Adriana Falconi. (Kulture Fulture kick),7,10
5,2,TD,10:41,Jordan von Matt 7 yd pass from Adriana Falconi. (Kulture Fulture kick),7,17
6,2,TD,6:04,Vinny Valentine 30 yd pass from Childish Gambino. (Alex Frost kick),14,17
8,3,SF,13:30,Adriana Falconi tackled for a safety.,16,17
9,3,TD,8:54,Jordan von Matt 58 yd pass from Adriana Falconi. (Kulture Fulture kick),16,24
10,3,TD,2:05,Marquise Brown 39 yd pass from Adriana Falconi. (Kulture Fulture kick),16,31
12,4,FG,10:43,17 yd FG by Kulture Fulture,16,34
13,4,TD,5:29,Declan Harp 8 yd pass from Childish Gambino. (Alex Frost kick),23,34
