Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Pooky, S.",YKW,1,5,6,0,12,16
"Maulolo, C.",YKW,1,5,0,0,12,16
"Storm, J.",YKW,1,5,0,0,12,16
"Mushing, M.",YKW,0,0,7,0,12,16
"Ones, B.",YKW,0,0,3,0,12,16
"Marshall, M.",YKW,0,0,2,1,12,16
"Amper, T.",YKW,0,0,2,0,12,16
"Canton, J.",YKW,0,0,2,0,12,16
"Rchonsucks, A.",YKW,0,0,1,0,12,16
"Beaver-Dantes, E.",AUS,2,10,6,1,12,16
"Bakshi, S.",AUS,1,4,0,0,12,16
"A'Barelyanything, L.",AUS,0,0,4,1,12,16
"A'Little, L.",AUS,0,0,4,0,12,16
"Larson, P.",AUS,0,0,2,0,12,16
"A'Moderateamount, L.",AUS,0,0,1,0,12,16
"A'Ton, L.",AUS,0,0,1,0,12,16
"Wizardry, D.",AUS,0,0,0,1,12,16
