,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,TD,10:47,Ryan Lecavalier 11 yd pass from Scrub Kyubee. (Turk Turkleton kick),7,0
2,1,SF,9:50,Logan Noble tackled for a safety.,9,0
3,1,FG,1:11,36 yd FG by Turk Turkleton,12,0
4,1,TD,0:45,Devin Speed 15 yd interception return. (Turk Turkleton kick),19,0
6,2,TD,13:07,Gabriel Tenzini 1 yd pass from Scrub Kyubee. (Turk Turkleton kick),26,0
7,2,FG,6:34,25 yd FG by Bojo Kicksit,26,3
8,2,TD,1:27,Kieran O'Connell 3 yd run. (Bojo Kicksit kick),26,10
10,3,FG,9:51,39 yd FG by Turk Turkleton,29,10
11,3,TD,5:46,Jonathan Shaloiko 6 yd pass from Logan Noble. (Bojo Kicksit kick),29,17
13,4,FG,10:30,46 yd FG by Turk Turkleton,32,17
14,4,TD,7:07,DJ Law 40 yd pass from Logan Noble. (Bojo Kicksit kick),32,24
15,4,TD,3:02,Marcus Robinson 1 yd run. (Turk Turkleton kick),39,24
