,Q,Score Type,Time Remaining,Play,CHI,YKW
1,1,TD,10:31,Aksel Danielsson 8 yd run. (Kulture Fulture kick),7,0
2,1,TD,9:31,Aksel Danielsson 1 yd run. (Kulture Fulture kick),14,0
3,1,TD,7:04,Mathias Hanyadi (R) 3 yd run. (Neo Donaldson kick),14,7
4,1,FG,0:41,42 yd FG by Neo Donaldson,14,10
6,2,FG,6:06,33 yd FG by Kulture Fulture,17,10
7,2,FG,0:25,42 yd FG by Neo Donaldson,17,13
9,3,TD,11:01,Orien Drake (R) 2 yd run. (Neo Donaldson XP no good),17,19
10,3,TD,8:04,Aksel Danielsson 4 yd run. (Kulture Fulture kick),24,19
11,3,FG,5:30,30 yd FG by Neo Donaldson,24,22
12,3,FG,1:08,43 yd FG by Kulture Fulture,27,22
14,4,FG,12:12,38 yd FG by Neo Donaldson,27,25
15,4,TD,7:44,Orien Drake (R) 7 yd pass from Cooter Bigsby. (Neo Donaldson kick),27,32
16,4,TD,3:58,Mathias Hanyadi (R) 1 yd pass from Cooter Bigsby. (Neo Donaldson kick),27,39
17,4,TD,0:17,Orien Drake (R) 1 yd run. (Neo Donaldson XP no good),27,45
