,Q,Score Type,Time Remaining,Play,SAR,BAL
1,1,FG,6:27,27 yd FG by Datsum PhastBawl (R),0,3
3,2,TD,11:30,Dexter Banks II 2 yd run. (Jacob Small kick),7,3
4,2,FG,6:24,30 yd FG by Jacob Small,10,3
5,2,FG,0:53,45 yd FG by Jacob Small,13,3
6,2,FG,0:08,17 yd FG by Jacob Small,16,3
8,3,TD,12:45,Asher Quinn 13 yd pass from Chika Fujiwara. (Datsum PhastBawl (R) kick),16,10
9,3,FG,7:39,31 yd FG by Jacob Small,19,10
11,4,TD,10:11,Michael Witheblock 42 yd pass from Dexter Banks II. (Jacob Small kick),26,10
12,4,TD,3:36,Clark Boyd 1 yd pass from Dexter Banks II. (Jacob Small XP no good),32,10
13,4,FG,1:30,28 yd FG by Jacob Small,35,10
