Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Bavitz, I.",OCO,8,0,2,1/1,1,1,0,0,0/0/0,1,0,0,0,3,1
"Krimlaw, A.",OCO,8,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,1
"Maddox, S.",OCO,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,1
"Petrakis, A.",OCO,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Reigns, J.",OCO,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Verns, D.",OCO,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Arthur, K.",OCO,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Devitt, R.",OCO,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Tomlinson, A.",OCO,2,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Thor, L.",OCO,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Metas, B.",SJS,6,1,2,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Canton, J.",SJS,5,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,1
"Hackett, A.",SJS,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Selich, A.",SJS,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Hansen, E.",SJS,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,1
"Shoate, T.",SJS,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Brill, J.",SJS,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Cameron, J.",SJS,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Richter, Z.",SJS,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Hardrool, C.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Taylor, G.",SJS,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Leafer, S.",SJS,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
"Miller, D.",SJS,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,1
