,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,8:58,Prince Vegeta 73 yd interception return. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,4:20,49 yd FG by J.J. Jay-Jaymison,7,3
3,1,TD,0:10,Prince Vegeta 68 yd interception return. (Alex Dasistwirklichseinnachname kick),14,3
5,2,FG,11:23,44 yd FG by J.J. Jay-Jaymison,14,6
6,2,TD,7:08,Zed Keppler 1 yd run. (J.J. Jay-Jaymison kick),14,13
7,2,SF,1:10,Jay Cue (C) tackled for a safety.,16,13
9,3,TD,12:29,Gunner Thorbjornsson (R) 7 yd run. (J.J. Jay-Jaymison kick),16,20
10,3,FG,4:34,42 yd FG by J.J. Jay-Jaymison,16,23
11,3,TD,0:54,Owen Holloway (R) 1 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),23,23
12,3,TD,0:18,Tatsu Nakamura (C) 1 yd run. (Alex Dasistwirklichseinnachname kick),30,23
14,4,TD,5:59,Heath Evans 2 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),30,30
15,4,TD,2:25,Jeffrey Phillips 13 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname XP no good),36,30
