,Q,Score Type,Time Remaining,Play,YKW,COL
1,1,FG,6:03,52 yd FG by Dougie Smalls,3,0
2,1,TD,4:09,William Lim 34 yd pass from Wolfie McDummy. (Silver Banana kick),3,7
4,2,TD,12:08,Leeroy Jenkins (R) 8 yd pass from Wolfie McDummy. (Silver Banana kick),3,14
5,2,FG,5:43,23 yd FG by Silver Banana,3,17
7,3,FG,11:45,33 yd FG by Silver Banana,3,20
8,3,FG,8:57,33 yd FG by Dougie Smalls,6,20
9,3,TD,3:55,Earl Sauce 7 yd pass from Wolfie McDummy. (Silver Banana kick),6,27
11,4,TD,13:59,Wolfie McDummy 2 yd run. (Silver Banana kick),6,34
12,4,TD,4:08,Mike Lee 10 yd pass from Colby Jack (R). (Dougie Smalls kick),13,34
13,4,TD,1:20,Wolfie McDummy 2 yd run. (Silver Banana kick),13,41
14,4,SF,0:05,Colby Jack (R) tackled for a safety.,13,43
