Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Hendrix, K.",COL,6,59,9.8,14,0,2,1
"Law, D.",COL,5,50,10,14,1,2,1
"Shaloiko, J.",COL,4,31,7.8,10,0,2,1
"Gucci, R.",COL,3,14,4.7,7,0,2,1
"Tweed, B.",COL,2,18,9,15,0,2,1
"Tiernan, L.",COL,1,9,9,9,0,2,1
"O'Connell, K.",COL,1,3,3,3,0,2,1
"Maddox, R.",YKW,6,31,5.2,11,0,2,1
"Garden, J.",YKW,5,119,23.8,37,1,2,1
"LeClair, A.",YKW,3,18,6,12,0,2,1
"Larsendorf, R.",YKW,3,15,5,6,0,2,1
"Tobin, T.",YKW,2,25,12.5,20,0,2,1
"Nuck, B.",YKW,1,6,6,6,0,2,1
"Stats, J.",YKW,1,4,4,4,0,2,1
