,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,FG,9:34,36 yd FG by Lefty Louis,3,0
2,1,TD,4:43,Randy Vuxta 15 yd pass from Brock Phoenix. (Lefty Louis XP no good),9,0
4,2,TD,8:05,Richard Gilbert (R) 2 yd pass from Wolfie McDummy. (Silver Banana kick),9,7
6,3,FG,10:58,32 yd FG by Lefty Louis,12,7
7,3,TD,8:23,William Lim 30 yd pass from Wolfie McDummy. (Silver Banana kick),12,14
8,3,TD,8:06,Richard D'Attoria V 93 yd kickoff return. (Lefty Louis kick),19,14
9,3,TD,4:22,Wolfie McDummy 3 yd run. (Silver Banana kick),19,21
11,4,FG,11:19,45 yd FG by Silver Banana,19,24
12,4,TD,6:48,Sam Torenson 9 yd run. (2pt conversion failed),25,24
13,4,TD,3:16,Wolfie McDummy 2 yd run. (2pt conversion good),25,32
