,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,9:01,Howard Miller 20 yd pass from Micycle McCormick. (Peg Leg kick),7,0
2,1,TD,5:58,Reg Mackworthy 9 yd run. (Dean Jackson kick),7,7
3,1,TD,1:06,Mark Grau 4 yd pass from Micycle McCormick. (Peg Leg kick),14,7
5,2,FG,10:20,28 yd FG by Dean Jackson,14,10
6,2,FG,6:09,27 yd FG by Peg Leg,17,10
7,2,TD,4:04,Viggo Squanch 37 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),17,17
9,3,TD,12:53,Viggo Squanch 47 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),17,24
10,3,FG,10:56,35 yd FG by Peg Leg,20,24
11,3,TD,3:35,Devo (R) Cansino 1 yd run. (Peg Leg kick),27,24
13,4,FG,9:15,24 yd FG by Dean Jackson,27,27
14,4,TD,4:39,Reg Mackworthy 1 yd run. (Dean Jackson kick),27,34
15,4,TD,0:36,Fox North 2 yd pass from Micycle McCormick. (Peg Leg kick),34,34
17,5,FG,12:50,29 yd FG by Dean Jackson,34,37
