Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Brackenridge, T.",SJS,10,0,2,0/0,1,0,0,0,0/0/0,0,0,0,0,3,26
"Triplet, R.",SJS,7,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,26
"Bass, L.",SJS,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,3,26
"Hilliard, R.",SJS,5,0,0,0/0,1,1,0,1,0/0/0,0,0,0,0,3,26
"Vaughne, R.",SJS,4,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,3,26
"Stein, P.",SJS,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Allen, O.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Cloudera, Y.",SJS,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Crowder, R.",SJS,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Fisher, G.",SJS,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Lanier, B.",SJS,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Jaxon-Waxon, X.",SJS,0,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,26
"Winchester, H.",NY,11,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"McDavid, L.",NY,7,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Roberts, B.",NY,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Banks, J.",NY,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,3,26
"Ocewilder, S.",NY,6,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Griddle, M.",NY,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"Kirkby, T.",NY,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"McGullager, T.",NY,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,3,26
"Kearse, J.",NY,3,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
"QuakStak, D.",NY,3,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,3,26
"Thumper, B.",NY,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,3,26
