Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Cardrissian, R.",SJS,1,5,3,0,3,26
"Pest, T.",SJS,0,0,7,0,3,26
"Bot, B.",SJS,0,0,6,1,3,26
"Johnson, R.",SJS,0,0,6,0,3,26
"Pancake, P.",SJS,0,0,5,1,3,26
"Lee, B.",SJS,0,0,2,0,3,26
"Ding Dong, J.",SJS,0,0,1,0,3,26
"Lackson, J.",SJS,0,0,1,0,3,26
"Owens, A.",NY,1,5,1,1,3,26
"Kingston, J.",NY,1,10,0,0,3,26
"Roberts, B.",NY,1,15,0,0,3,26
"Hamel, M.",NY,0,0,7,0,3,26
"Alexander, M.",NY,0,0,6,1,3,26
"Kong, D.",NY,0,0,6,0,3,26
"Kong, F.",NY,0,0,4,0,3,26
"Bawlls, B.",NY,0,0,2,0,3,26
"Kong, C.",NY,0,0,2,0,3,26
"Quail, D.",NY,0,0,2,0,3,26
