Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Evans, H.",AZ,10,105,10.5,28,1,9,24
"Passmann, T.",AZ,6,91,15.2,27,1,9,24
"Donut, S.",AZ,5,107,21.4,40,1,9,24
"Keppler, Z.",AZ,2,14,7,10,0,9,24
"Bur'Berry, J.",AZ,1,15,15,15,0,9,24
"Petrongolo, J.",AZ,1,4,4,4,0,9,24
"O'Leary, S.",CHI,6,59,9.8,19,0,9,24
"Rodriguez, B.",CHI,4,59,14.8,31,1,9,24
"Gelbman, T.",CHI,4,23,5.8,11,0,9,24
"Hayes, V.",CHI,3,17,5.7,6,0,9,24
"Scabbia, L.",CHI,2,52,26,40,1,9,24
"Tirtawidjaja, J.",CHI,2,11,5.5,11,0,9,24
"Oberwald, G.",CHI,1,14,14,14,0,9,24
"Yoda, B.",CHI,1,4,4,4,0,9,24
