,Q,Score Type,Time Remaining,Play,CHI,AZ
1,1,TD,6:30,Mike Hockhertz 38 yd interception return. (Sam Sidekick (R) kick),7,0
2,1,TD,3:38,Thomas Passmann 27 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),7,7
3,1,TD,2:52,Joseph Petrongolo (R) 1 yd run. (J.J. Jay-Jaymison kick),7,14
5,2,TD,14:20,Joseph Petrongolo (R) 1 yd run. (J.J. Jay-Jaymison kick),7,21
6,2,TD,3:30,Luca Scabbia (R) 40 yd pass from George O'Donnell (R). (Sam Sidekick (R) kick),14,21
7,2,TD,1:23,Bender B. Rodriguez 31 yd pass from George O'Donnell (R). (Sam Sidekick (R) kick),21,21
9,3,TD,10:04,Saba Donut 6 yd pass from Jay Cue. (J.J. Jay-Jaymison XP no good),21,27
10,3,FG,1:04,47 yd FG by J.J. Jay-Jaymison,21,30
12,4,TD,10:30,Heath Evans 6 yd pass from Jay Cue. (J.J. Jay-Jaymison kick),21,37
13,4,FG,7:36,47 yd FG by Sam Sidekick (R),24,37
14,4,FG,3:43,24 yd FG by J.J. Jay-Jaymison,24,40
15,4,TD,1:32,Zed Keppler (R) 6 yd run. (J.J. Jay-Jaymison kick),24,47
