Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Squanch, V.",BAL,5,114,22.8,38,0,10,14
"Harp, D.",BAL,5,35,7,23,1,10,14
"L'Alto, V.",BAL,4,40,10,15,0,10,14
"Brown, M.",BAL,4,10,2.5,4,0,10,14
"Valentine, V.",BAL,3,34,11.3,19,0,10,14
"Miller, H.",BAL,2,46,23,40,0,10,14
"Maddox, E.",BAL,2,33,16.5,26,0,10,14
"Wizardry, D.",YKW,7,31,4.4,10,0,10,14
"Helanen, T.",YKW,6,74,12.3,24,0,10,14
"Parker, J.",YKW,6,60,10,17,0,10,14
"Swift, N.",YKW,2,18,9,10,0,10,14
"Pennington, B.",YKW,1,24,24,24,0,10,14
"Pitcher, A.",YKW,1,17,17,17,0,10,14
