,Q,Score Type,Time Remaining,Play,BAL,OCO
1,1,TD,10:06,Trey Willie 25 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),6,0
2,1,FG,3:57,36 yd FG by Bradley Madlad,6,3
3,1,FG,2:05,37 yd FG by Bradley Madlad,6,6
4,1,TD,0:00,Alexandre LeClair 33 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,6
6,2,TD,11:56,Jordan Yates 11 yd pass from Mike Boss. (Bradley Madlad kick),13,13
7,2,TD,2:38,Bradley Westfield 36 yd pass from Mike Boss. (Bradley Madlad kick),13,20
8,2,TD,2:20,Trey Willie 105 yd kickoff return. (Turk Turkleton kick),20,20
9,2,FG,0:14,55 yd FG by Turk Turkleton,23,20
11,3,FG,11:37,36 yd FG by Bradley Madlad,23,23
12,3,FG,4:57,43 yd FG by Turk Turkleton,26,23
14,4,FG,14:25,41 yd FG by Bradley Madlad,26,26
15,4,FG,7:33,46 yd FG by Bradley Madlad,26,29
16,4,TD,5:07,None Stormblessed 17 yd pass from Avon Blocksdale. (Turk Turkleton kick),33,29
