Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Ramrio, M.",YKW,2,20,0,0,1,1
"Varga, T.",YKW,1,5,0,0,1,1
"Ferguson, D.",YKW,0,0,9,0,1,1
"Bigboy18, Z.",YKW,0,0,5,0,1,1
"Akselsen, M.",YKW,0,0,4,0,1,1
"Bigboy17, Z.",YKW,0,0,3,0,1,1
"Floggity, J.",YKW,0,0,3,0,1,1
"Larsendorf, R.",YKW,0,0,2,0,1,1
"Maddox, R.",YKW,0,0,2,0,1,1
"Nuck, B.",YKW,0,0,1,0,1,1
"Robicheaux, D.",SJS,2,24,8,0,1,1
"Hardrool, C.",SJS,2,10,0,0,1,1
"Bowers Jr, V.",SJS,1,10,1,0,1,1
"Bottles, B.",SJS,1,5,0,0,1,1
"Christ, J.",SJS,1,5,0,0,1,1
"Leafer, S.",SJS,1,15,0,0,1,1
"Taylor, G.",SJS,1,5,0,0,1,1
"Weston, S.",SJS,1,15,0,0,1,1
"MacManus, C.",SJS,0,0,6,2,1,1
"Bigboy8, Z.",SJS,0,0,4,1,1,1
"Longshaw, B.",SJS,0,0,2,0,1,1
"Tebow, T.",SJS,0,0,2,0,1,1
