,Q,Score Type,Time Remaining,Play,OCO,BAL
1,1,TD,8:24,Walt Green 71 yd interception return. (ForThe Brand kick),0,7
3,2,TD,9:38,Tatsu Nakamura 2 yd run. (Alex Dasistwirklichseinnachname kick),7,7
4,2,FG,5:17,31 yd FG by ForThe Brand,7,10
5,2,FG,2:14,46 yd FG by Alex Dasistwirklichseinnachname,10,10
7,3,TD,7:50,Chris Kross 9 yd pass from Chika Fujiwara. (ForThe Brand kick),10,17
8,3,FG,3:11,31 yd FG by ForThe Brand,10,20
9,3,TD,0:28,Asher Quinn 43 yd pass from Chika Fujiwara. (ForThe Brand kick),10,27
11,4,FG,8:27,36 yd FG by Alex Dasistwirklichseinnachname,13,27
12,4,FG,3:52,38 yd FG by ForThe Brand,13,30
13,4,FG,1:26,33 yd FG by ForThe Brand,13,33
