,Q,Score Type,Time Remaining,Play,YKW,OCO
1,1,TD,10:29,Carlito Crush 6 yd pass from Mike Boss. (Bradley Madlad kick),0,7
2,1,TD,5:39,Dermot Lavelle 7 yd pass from Mat Akselsen. (None Forfeit kick),7,7
3,1,FG,1:16,49 yd FG by Bradley Madlad,7,10
5,2,TD,11:49,Robert Phelps 27 yd pass from Mike Boss. (Bradley Madlad kick),7,17
6,2,FG,9:43,43 yd FG by None Forfeit,10,17
7,2,TD,9:04,Dermot Lavelle 64 yd punt return. (None Forfeit kick),17,17
8,2,FG,1:05,27 yd FG by Bradley Madlad,17,20
10,3,FG,12:37,22 yd FG by Bradley Madlad,17,23
12,4,TD,9:40,Tegan Atwell 32 yd pass from Mike Boss. (Bradley Madlad kick),17,30
13,4,SF,1:22,Jordan Yates tackled for a safety.,19,30
