,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,FG,8:27,37 yd FG by Neo Donaldson,0,3
2,1,FG,0:19,33 yd FG by Neo Donaldson,0,6
4,2,TD,12:16,Morgan Marshall 2 yd run. (Neo Donaldson kick),0,13
5,2,FG,4:13,29 yd FG by Baxter Frost (R),3,13
6,2,FG,0:10,38 yd FG by Baxter Frost (R),6,13
8,3,TD,9:59,Nate Swift 10 yd pass from Cooter Bigsby. (Neo Donaldson kick),6,20
9,3,FG,6:23,19 yd FG by Neo Donaldson,6,23
10,3,FG,3:17,46 yd FG by Baxter Frost (R),9,23
12,4,FG,12:59,24 yd FG by Baxter Frost (R),12,23
13,4,FG,8:14,45 yd FG by Neo Donaldson,12,26
