,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,TD,3:44,Thjalfi Halvorsen 18 yd pass from Borkus Maximus III. (Beat Meoff kick),0,7
2,1,TD,2:01,Daquan Richardson 23 yd interception return. (Beat Meoff kick),0,14
4,2,TD,11:11,Borkus Maximus III 4 yd run. (Beat Meoff kick),0,21
5,2,TD,8:14,Jordan von Matt 11 yd pass from Adriana Falconi. (Kulture Fulture kick),7,21
6,2,FG,0:04,45 yd FG by Kulture Fulture,10,21
8,3,TD,12:43,Fast (R) Boija 8 yd run. (Kulture Fulture kick),17,21
9,3,TD,4:33,Carter Bush 13 yd pass from Adriana Falconi. (Kulture Fulture kick),24,21
10,3,TD,0:42,Tyler Swift 1 yd pass from Borkus Maximus III. (Beat Meoff kick),24,28
12,4,TD,11:58,Aksel Danielsson 2 yd run. (Beat Meoff kick),24,35
13,4,FG,8:49,44 yd FG by Kulture Fulture,27,35
