,Q,Score Type,Time Remaining,Play,PHI,OCO
1,1,FG,7:17,44 yd FG by Stephen Harris,3,0
2,1,TD,1:06,Jordan Yates 16 yd pass from Mike Boss. (Bradley Madlad kick),3,7
4,2,TD,14:11,Jordan Yates 1 yd pass from Mike Boss. (Bradley Madlad kick),3,14
5,2,TD,13:53,Damien Kroetch 108 yd kickoff return. (Stephen Harris kick),10,14
6,2,TD,10:40,Erlich Burnsman 1 yd run. (Bradley Madlad kick),10,21
7,2,FG,7:08,26 yd FG by Stephen Harris,13,21
8,2,FG,3:34,41 yd FG by Bradley Madlad,13,24
10,3,FG,9:23,43 yd FG by Bradley Madlad,13,27
12,4,TD,10:10,Bradley Westfield 4 yd pass from Mike Boss. (Bradley Madlad kick),13,34
13,4,FG,6:03,38 yd FG by Bradley Madlad,13,37
14,4,TD,0:57,Fox North 1 yd pass from Tyler Oles. (Stephen Harris kick),20,37
