Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Tuck, J.",SJS,2,19,0,0
"Jahelpme, H.",SJS,1,10,5,2
"Flash, X.",SJS,1,13,0,0
"Staley, T.",SJS,1,8,0,0
"Tacktheritrix, J.",SJS,1,5,0,0
"Orosz, C.",SJS,0,0,5,0
"McKoutchie, M.",SJS,0,0,3,0
"Probincrux III, D.",SJS,0,0,3,0
"Rucker, F.",SJS,0,0,3,0
"Brannigan, Z.",SJS,0,0,2,0
"Canton, J.",SJS,0,0,1,0
"Tim, T.",OCO,1,10,11,0
"Bagwell, N.",OCO,1,5,0,0
"Spector, M.",OCO,1,15,0,0
"Sunnycursed, N.",OCO,1,15,0,0
"Minchester, M.",OCO,0,0,5,0
"Manchester, M.",OCO,0,0,4,1
"Dumchester, L.",OCO,0,0,2,0
"Adams, R.",OCO,0,0,1,0
"Zephyrous, S.",OCO,0,0,1,0
