,Q,Score Type,Time Remaining,Play,OCO,AZ
1,1,TD,10:55,Jordan Yates 1 yd run. (Bradley Madlad kick),7,0
2,1,TD,7:29,Erlich Burnsman 1 yd run. (Bradley Madlad kick),14,0
3,1,TD,3:11,Reg Mackworthy 2 yd run. (Dean Jackson kick),14,7
4,1,TD,1:15,Robert Phelps 42 yd pass from Mike Boss. (Bradley Madlad kick),21,7
6,2,TD,10:18,Budda Browning 59 yd pass from King Bronko. (Dean Jackson kick),21,14
7,2,TD,3:17,Omar Wright 9 yd pass from King Bronko. (Dean Jackson kick),21,21
8,2,FG,0:15,31 yd FG by Bradley Madlad,24,21
10,3,TD,14:23,Reg Mackworthy 1 yd run. (Dean Jackson kick),24,28
11,3,TD,11:00,Robert Phelps 16 yd pass from Mike Boss. (Bradley Madlad kick),31,28
12,3,FG,6:08,29 yd FG by Bradley Madlad,34,28
13,3,FG,4:15,40 yd FG by Dean Jackson,34,31
15,4,TD,3:33,Jordan Yates 1 yd run. (Bradley Madlad kick),41,31
16,4,FG,1:00,46 yd FG by Bradley Madlad,44,31
