,Q,Score Type,Time Remaining,Play,NO,CHI
1,1,TD,9:36,Farley Hank 3 yd run. (Diego Espinosa kick),0,7
2,1,TD,4:43,Forrest Gump 1 yd run. (Herbert Prohaska kick),7,7
3,1,TD,0:05,Sean O'Leary 2 yd pass from Rose Jenkins. (Diego Espinosa kick),7,14
5,2,TD,7:55,Sean O'Leary 13 yd pass from Rose Jenkins. (Diego Espinosa kick),7,21
6,2,TD,4:33,Marcella Toriki 1 yd run. (Herbert Prohaska kick),14,21
7,2,FG,0:14,30 yd FG by Diego Espinosa,14,24
9,3,TD,12:34,Sean O'Leary 23 yd pass from Rose Jenkins. (Diego Espinosa kick),14,31
10,3,FG,4:47,36 yd FG by Herbert Prohaska,17,31
12,4,TD,12:31,Forrest Gump 6 yd run. (Herbert Prohaska kick),24,31
13,4,FG,8:24,39 yd FG by Diego Espinosa,24,34
14,4,TD,5:49,Jerome Davis (R) 1 yd pass from Rose Jenkins. (Diego Espinosa kick),24,41
