Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Bishop, J.",COL,5,51,10.2,17,0,2,17
"Palmer, J.",COL,5,24,4.8,7,0,2,17
"Crindy, B.",COL,4,24,6,9,0,2,17
"Forty-Two, L.",COL,2,17,8.5,11,0,2,17
"Wright, R.",COL,2,10,5,6,0,2,17
"Taffy, T.",COL,1,7,7,7,0,2,17
"Oles, K.",CHI,5,83,16.6,33,1,2,17
"Adams, R.",CHI,4,43,10.8,14,0,2,17
"Harp, D.",CHI,2,17,8.5,10,0,2,17
"Hasselhoff, F.",CHI,2,15,7.5,9,0,2,17
"Batoff, R.",CHI,2,13,6.5,9,0,2,17
"Torenson, S.",CHI,1,29,29,29,0,2,17
"Danielsson, A.",CHI,1,13,13,13,1,2,17
