,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,6:08,Darren Smallwood 4 yd run. (Beat Meoff kick),0,7
2,1,FG,2:47,25 yd FG by Dean Jackson,3,7
3,1,TD,1:19,Reg Mackworthy 4 yd run. (Dean Jackson kick),10,7
5,2,TD,13:24,Vladimir Fyodorovich 11 yd pass from Borkus Maximus III. (Beat Meoff kick),10,14
6,2,FG,11:28,44 yd FG by Dean Jackson,13,14
7,2,TD,8:22,Darren Smallwood 2 yd run. (Beat Meoff XP no good),13,20
8,2,TD,8:06,Shannon Hobbs 94 yd kickoff return. (Dean Jackson kick),20,20
9,2,TD,2:22,Blackford Oakes 89 yd interception return. (Beat Meoff kick),20,27
10,2,FG,0:25,52 yd FG by Beat Meoff,20,30
12,3,TD,11:57,Alexandre LeClair 6 yd pass from Borkus Maximus III. (Beat Meoff kick),20,37
13,3,TD,8:11,Budda Browning 25 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),27,37
14,3,TD,4:34,Reg Mackworthy 9 yd run. (Dean Jackson kick),34,37
15,3,TD,0:00,Vladimir Fyodorovich 2 yd pass from Borkus Maximus III. (Beat Meoff kick),34,44
17,4,TD,5:48,Chinwemma (R) Yobanna-Kanayochukwu 6 yd pass from Borkus Maximus III. (Beat Meoff kick),34,51
