Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Parker, J.",YKW,6,76,12.7,21,2,3,11
"McPoyal, G.",YKW,6,50,8.3,17,1,3,11
"Cook, B.",YKW,4,29,7.2,9,0,3,11
"Harris Jr., F.",YKW,2,10,5,8,0,3,11
"Lavelle, D.",YKW,1,18,18,18,0,3,11
"Summer, A.",YKW,1,8,8,8,0,3,11
"Carrasco, T.",YKW,1,6,6,6,0,3,11
"Law, C.",NO,7,123,17.6,31,1,3,11
"DiMirio, P.",NO,7,60,8.6,15,0,3,11
"Fyodorovich, V.",NO,6,133,22.2,42,0,3,11
"LeClair, A.",NO,5,63,12.6,18,2,3,11
"Smallwood, D.",NO,3,15,5,9,0,3,11
"Yobanna-Kanayochukwu, C.",NO,1,7,7,7,0,3,11
