,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,10:57,Darren Smallwood 2 yd run. (Beat Meoff kick),7,0
2,1,TD,10:02,Josh (R) Parker 21 yd pass from Brad Pennington. (None Forfeit kick),7,7
3,1,TD,7:46,Alexandre LeClair 18 yd pass from Borkus Maximus III. (Beat Meoff kick),14,7
4,1,TD,4:23,Charlie Law 31 yd pass from Borkus Maximus III. (Beat Meoff kick),21,7
6,2,FG,12:39,42 yd FG by Beat Meoff,24,7
7,2,TD,2:17,Josh (R) Parker 21 yd pass from Brad Pennington. (None Forfeit kick),24,14
9,3,FG,11:19,41 yd FG by None Forfeit,24,17
10,3,TD,2:59,Glenn McPoyal 1 yd pass from Brad Pennington. (None Forfeit kick),24,24
12,4,TD,14:48,Thomas (R) Carrasco 1 yd run. (None Forfeit kick),24,31
13,4,TD,10:06,Alexandre LeClair 17 yd pass from Borkus Maximus III. (Beat Meoff kick),31,31
14,4,TD,9:48,Thad Pennington 99 yd kickoff return. (None Forfeit kick),31,38
15,4,FG,2:17,40 yd FG by None Forfeit,31,41
