,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,TD,2:58,Vladimir Fyodorovich 12 yd pass from Stan Francisco. (Alex Frost kick),7,0
3,2,TD,10:27,Jeffrey Murphy 11 yd pass from Andrew Reese. (Spencer Lawes kick),7,7
5,3,TD,13:22,Vinny Valentine 64 yd pass from Andrew Reese. (Spencer Lawes kick),7,14
6,3,TD,6:17,Forrest Gump 1 yd run. (Alex Frost kick),14,14
7,3,FG,1:58,43 yd FG by Spencer Lawes,14,17
8,3,FG,0:08,44 yd FG by Alex Frost,17,17
10,4,FG,13:02,34 yd FG by Alex Frost,20,17
11,4,TD,7:30,Jeffrey Murphy 1 yd run. (Spencer Lawes kick),20,24
12,4,FG,3:44,30 yd FG by Spencer Lawes,20,27
13,4,TD,1:36,Jammerson Irving 29 yd pass from Andrew Reese. (Spencer Lawes kick),20,34
