,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,TD,7:24,Owen Taylor 6 yd pass from Ryan Applehort. (Turk Turkleton kick),7,0
2,1,TD,7:09,Bucky Barnes 108 yd kickoff return. (Dean Jackson kick),7,7
3,1,TD,3:21,Trey Willie 8 yd pass from Ryan Applehort. (Turk Turkleton kick),14,7
4,1,TD,0:27,Budda Browning 8 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,14
6,2,TD,4:00,Trey Willie 11 yd pass from Ryan Applehort. (Turk Turkleton kick),21,14
7,2,FG,1:08,21 yd FG by Turk Turkleton,24,14
9,3,FG,10:25,45 yd FG by Dean Jackson,24,17
10,3,TD,0:10,Vinny Valentine 50 yd punt return. (Turk Turkleton kick),31,17
12,4,TD,10:00,Budda Browning 3 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),31,24
13,4,TD,4:31,Darren Morris 10 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),31,31
14,4,FG,1:05,48 yd FG by Turk Turkleton,34,31
