Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Oakes, B.",NO,1,5,0,0
"Ory, K.",NO,0,0,6,0
"Armstrong, L.",NO,0,0,5,0
"Ruffins, K.",NO,0,0,5,0
"DiMirio, P.",NO,0,0,4,0
"Savea, A.",NO,0,0,4,0
"Bolden, B.",NO,0,0,3,0
"Roll, J.",NO,0,0,3,0
"Smallwood, D.",NO,0,0,2,0
"Browning, B.",BAL,2,30,0,0
"Jeremy, R.",BAL,1,10,2,0
"Hendrix, K.",BAL,1,5,0,0
"Marmeladov, V.",BAL,1,5,0,0
"Turner, D.",BAL,1,5,0,0
"Diggler, D.",BAL,0,0,7,0
"Steele, R.",BAL,0,0,4,0
"L'Alto, V.",BAL,0,0,2,0
"Taylor, O.",BAL,0,0,2,0
"Grey, S.",BAL,0,0,1,1
"Star, L.",BAL,0,0,1,0
