,Q,Score Type,Time Remaining,Play,NO,AZ
1,1,TD,11:15,David Rector (C) 86 yd punt return. (Lefty Louis kick),7,0
2,1,TD,7:32,Mike Rotchburns (R) 24 yd run. (Lefty Louis kick),14,0
3,1,FG,2:50,19 yd FG by J.J. Jay-Jaymison,14,3
4,1,TD,0:47,David Rector (C) 32 yd interception return. (Lefty Louis XP no good),20,3
6,2,TD,7:56,Gunner Thorbjornsson 4 yd run. (J.J. Jay-Jaymison kick),20,10
7,2,TD,1:33,Gunner Thorbjornsson 9 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),20,17
9,3,TD,4:09,Gunner Thorbjornsson 5 yd run. (J.J. Jay-Jaymison kick),20,24
11,4,TD,10:28,Brock Bodenhamer 4 yd pass from Ben Slothlisberger. (Lefty Louis kick),27,24
12,4,FG,5:38,42 yd FG by J.J. Jay-Jaymison,27,27
13,4,FG,0:28,32 yd FG by Lefty Louis,30,27
