,Q,Score Type,Time Remaining,Play,AUS,NO
1,1,TD,8:20,Net Gaines 20 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,FG,5:07,32 yd FG by Herbert Prohaska,7,3
3,1,FG,1:39,43 yd FG by Herbert Prohaska,7,6
5,2,TD,14:46,David Rector 77 yd punt return. (Herbert Prohaska kick),7,13
6,2,TD,10:53,Eddie Jeeta 26 yd pass from Easton Cole. (Alfredo Crisco kick),14,13
7,2,TD,6:46,Austin McCormick 12 yd pass from Ben Slothlisberger (R). (Herbert Prohaska kick),14,20
8,2,SF,5:31,Easton Cole tackled for a safety.,14,22
10,3,TD,5:34,Austin McCormick 6 yd pass from Ben Slothlisberger (R). (Herbert Prohaska kick),14,29
12,4,FG,9:01,46 yd FG by Alfredo Crisco,17,29
13,4,TD,0:57,Mako Mendonca 1 yd pass from Easton Cole. (Alfredo Crisco kick),24,29
